Rank,Restaurant,Type of Restaurant , Sales , Average Check ,City,State,Meals Served,**Revenue Per Meal**,,,,
68,Atlanta Fish Market,Seafood," $14,972,300 ", $57 ,Atlanta,Georgia,"274,000", $55 ,,,,
69,Acme Feed & Seed,Southern Cuisine ," $14,897,125 ", $22 ,Nashville,Tennessee,"527,130", $28 ,,,,
70,Hugo's Frog Bar & Fish House,Seafood," $14,790,123 ", $80 ,Chicago,Illinois ,"190,616", $78 ,,,,
71,Cliff House,New American Cuisine ," $14,465,847 ", $40 ,San Francisco,California,"199,901", $72 ,,,,
72,Castaway Burbank,Steakhouse ," $14,407,413 ", $60 ,Burbank,California,"180,320", $80 ,,,,
73,Matt's El Rancho,Tex-Mex," $14,381,904 ", $29 ,Austin,Texas,"495,927", $29 ,,,,
74,Timberline Steaks and Grille,Steakhouse ," $14,362,103 ", $37 ,Denver,Colorado,"553,378", $26 ,,,,
75,Beauty & Essex (Las Vegas),New American Cuisine ," $14,130,500 ", $99 ,Las Vegas,Nevada ,"150,000", $94 ,,,,
76,Carmine's (Atlantic City),Italian ," $13,987,843 ", $39 ,Atlantic City,New Jersey,"129,630", $108 ,,,,
77,Junior's (Brooklyn),American Cuisine ," $13,908,292 ", $23 ,New York,New York,"359,000", $39 ,,,,
78,Quartino Ristorante & Wine Bar,Italian ," $13,854,856 ", $32 ,Chicago,Illinois ,"394,582", $35 ,,,,
79,Paradise Cove Beach Cafe,American Cafe," $13,654,113 ", $39 ,Malibu,California,"312,050", $44 ,,,,
80,BOA Steakhouse ,Steakhouse ," $13,552,485 ", $110 ,West Hollywood,California,"123,204", $110 ,,,,
81,Original Joe's,Italian ," $13,177,468 ", $45 ,San Francisco,California,"267,533", $49 ,,,,
82,"Founding Farmers (McLean, Va.)",American Cuisine ," $13,102,742 ", $38 ,McLean,Virginia,"390,104", $34 ,,,,
83,Siena Tavern,Italian ," $13,100,000 ", $55 ,Chicago,Illinois ,"238,182", $55 ,,,,
84,Girl & the Goat,New American Cuisine ," $12,894,700 ", $82 ,Chicago,Illinois ,"183,000", $70 ,,,,
85,Tavern on Rush,Steakhouse ," $12,884,000 ", $72 ,Chicago,Illinois ,"178,944", $72 ,,,,
86,Harry & Izzy's Circle Centre,American Restaurant ," $12,809,921 ", $66 ,Indianapolis,Indiana,"174,166", $74 ,,,,
87,Scoma's,Seafood Restaurant," $12,713,394 ", $65 ,San Francisco,California,"292,000", $44 ,,,,
88,Farmers Fishers Bakers,American Restaurant ," $12,572,109 ", $37 ,Washington,D.C.,"371,025", $34 ,,,,
89,Southern Steak & Oyster,Steakhouse ," $12,566,618 ", $39 ,Nashville,Tennessee,"337,920", $37 ,,,,
90,Big Texan Steak Ranch,Steakhouse ," $12,505,200 ", $24 ,Amarillo,Texas,"478,000", $26 ,,,,
91,"Park Avenue Summer (Autumn, Winter, Spring)",American ," $12,498,000 ", $84 ,New York,New York,"164,531", $76 ,,,,
92,Farmers & Distillers,American Restaurant ," $12,278,839 ", $36 ,Washington,D.C.,"375,309", $33 ,,,,
93,Virgil's Real Barbecue,BBQ ," $12,245,998 ", $31 ,New York,New York,"251,800", $49 ,,,,
94,"Carmine's (Washington, D.C.)",Italian ," $12,228,168 ", $39 ,Washington,D.C.,"148,135", $83 ,,,,
95,Franciscan Crab Restaurant,Seafood Restaurant," $12,218,147 ", $59 ,San Francisco,California,"240,000", $51 ,,,,
96,George's at the Cove,New American Cuisine ," $12,194,000 ", $80 ,La Jolla,California,"250,000", $49 ,,,,
97,Le Coucou,French," $12,187,523 ", $95 ,New York,New York,"87,070", $140 ,,,,
98,Mi Vida,Mexican ," $12,032,014 ", $38 ,Washington,D.C.,"226,226", $53 ,,,,
99,Upland,Californian & Italian Fusion," $11,965,564 ", $52 ,New York,New York,"171,825", $70 ,,,,
100,Virgil's Real Barbecue,BBQ ," $11,391,678 ", $27 ,Las Vegas,Nevada ,"208,276", $55 ,,,,
